utility_component_template,,,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,component_set,upgrades_to,class_restriction,ship_modifier,,ai_weight,prerequisites,size_restriction,
"LARGE_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-80,25,"thruster_components","LARGE_SHIP_THRUSTER_3",{ shipclass_military },20,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-100,30,"thruster_components","LARGE_SHIP_THRUSTER_4",{ shipclass_military },30,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-120,35,"thruster_components","LARGE_SHIP_THRUSTER_5",{ shipclass_military },40,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-140,40,"thruster_components",,{ shipclass_military },50,1,{ weight = @weight_5 },{ "tech_thrusters_5" },{ battleship battleshipNSC Carrier SCX_Carrier },
"EXTRA_LARGE_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-75,25,"thruster_components","EXTRA_LARGE_SHIP_THRUSTER_2",{ shipclass_military },10,,{ weight = @weight_1 },,{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-100,30,"thruster_components","EXTRA_LARGE_SHIP_THRUSTER_3",{ shipclass_military },20,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-125,35,"thruster_components","EXTRA_LARGE_SHIP_THRUSTER_4",{ shipclass_military },30,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-150,40,"thruster_components","EXTRA_LARGE_SHIP_THRUSTER_5",{ shipclass_military },40,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-175,45,"thruster_components",,{ shipclass_military },50,1,{ weight = @weight_5 },{ "tech_thrusters_5" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"NON-DESIGNABLE_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,0,0,"thruster_components","NON-DESIGNABLE_SHIP_THRUSTER_2",{ shipclass_colonizer shipclass_constructor shipclass_transport },,,{ weight = @weight_1 },,,
"NON-DESIGNABLE_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,0,0,"thruster_components","NON-DESIGNABLE_SHIP_THRUSTER_3",{ shipclass_colonizer shipclass_constructor shipclass_transport },,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },,
"NON-DESIGNABLE_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,0,0,"thruster_components","NON-DESIGNABLE_SHIP_THRUSTER_4",{ shipclass_colonizer shipclass_constructor shipclass_transport },,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },,
"NON-DESIGNABLE_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,0,0,"thruster_components","NON-DESIGNABLE_SHIP_THRUSTER_5",{ shipclass_colonizer shipclass_constructor shipclass_transport },,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },,
"NON-DESIGNABLE_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,0,0,"thruster_components",,{ shipclass_colonizer shipclass_constructor shipclass_transport },,1,{ weight = @weight_5 },{ "tech_thrusters_5" },,
