utility_component_template,,,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,armor_value,component_set,upgrades_to,class_restriction,ship_modifier,ai_weight,prerequisites,size_restriction,
"MEDIUM_SMALL_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-50,25,40,"special_components","MEDIUM_SMALL_SHIP_ARMOR_5",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-60,30,50,"special_components",,{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_LARGE_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-30,15,10,"special_components","MEDIUM_LARGE_SHIP_ARMOR_2",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-45,20,20,"special_components","MEDIUM_LARGE_SHIP_ARMOR_3",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-60,25,30,"special_components","MEDIUM_LARGE_SHIP_ARMOR_4",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-75,30,40,"special_components","MEDIUM_LARGE_SHIP_ARMOR_5",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-90,35,50,"special_components",,{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"LARGE_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-40,20,10,"special_components","LARGE_SHIP_ARMOR_2",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-60,25,20,"special_components","LARGE_SHIP_ARMOR_3",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-80,30,30,"special_components","LARGE_SHIP_ARMOR_4",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-100,35,40,"special_components","LARGE_SHIP_ARMOR_5",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ battleship battleshipNSC Carrier SCX_Carrier },
"LARGE_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-120,40,50,"special_components",,{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },{ battleship battleshipNSC Carrier SCX_Carrier },
"EXTRA_LARGE_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-50,25,10,"special_components","EXTRA_LARGE_SHIP_ARMOR_2",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-75,30,20,"special_components","EXTRA_LARGE_SHIP_ARMOR_3",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-100,35,30,"special_components","EXTRA_LARGE_SHIP_ARMOR_4",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-125,40,40,"special_components","EXTRA_LARGE_SHIP_ARMOR_5",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"EXTRA_LARGE_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-150,45,50,"special_components",,{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },{ erebus leviathan titan SCX_Dreadnought SCX_Superdreadnought Dreadnought Superdreadnought Flagship rs_dreadnought rs_heavy_dreadnought_type_a rs_heavy_dreadnought_type_b rs_heavy_dreadnought_type_c rs_heavy_dreadnought_type_d rs_heavy_dreadnought_type_e rs_heavy_dreadnought_type_f rs_heavy_dreadnought_type_g LoGHFlagship },
"STATION_ARMOR_1",aux,"GFX_ship_part_armor_2",1,-25,10,30,"special_components","STATION_ARMOR_2",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ military_station_small outpost_station },
"STATION_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-50,15,60,"special_components","STATION_ARMOR_3",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ military_station_small outpost_station },
"STATION_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-75,20,90,"special_components","STATION_ARMOR_4",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_3	},{ weight = @weight_3 },{ "tech_armor_3" },{ military_station_small outpost_station },
"STATION_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-100,25,120,"special_components","STATION_ARMOR_5",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ military_station_small outpost_station },
"STATION_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-150,30,150,"special_components",,{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_5	},{ weight = @weight_5 },{ "tech_armor_5" },{ military_station_small outpost_station },
"MEDIUM_STATION_ARMOR_1",aux,"GFX_ship_part_armor_2",1,-50,20,30,"special_components","MEDIUM_STATION_ARMOR_2",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ military_station_medium ass_military_complex },
"MEDIUM_STATION_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-75,30,60,"special_components","MEDIUM_STATION_ARMOR_3",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ military_station_medium ass_military_complex },
"MEDIUM_STATION_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-100,40,90,"special_components","MEDIUM_STATION_ARMOR_4",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_3	},{ weight = @weight_3 },{ "tech_armor_3" },{ military_station_medium ass_military_complex },
"MEDIUM_STATION_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-125,50,120,"special_components","MEDIUM_STATION_ARMOR_5",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ military_station_medium ass_military_complex },
"MEDIUM_STATION_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-175,60,150,"special_components",,{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_5	},{ weight = @weight_5 },{ "tech_armor_5" },{ military_station_medium ass_military_complex },
"LARGE_STATION_ARMOR_1",aux,"GFX_ship_part_armor_2",1,@large_military_station_power_usage_armor_tier_1,@large_military_station_cost_armor_tier_1,30,"special_components","LARGE_STATION_ARMOR_2",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ military_station_large },
"LARGE_STATION_ARMOR_2",aux,"GFX_ship_part_armor_2",1,@large_military_station_power_usage_armor_tier_2,@large_military_station_cost_armor_tier_2,60,"special_components","LARGE_STATION_ARMOR_3",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ military_station_large },
"LARGE_STATION_ARMOR_3",aux,"GFX_ship_part_armor_3",1,@large_military_station_power_usage_armor_tier_3,@large_military_station_cost_armor_tier_3,90,"special_components","LARGE_STATION_ARMOR_4",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_3	},{ weight = @weight_3 },{ "tech_armor_3" },{ military_station_large },
"LARGE_STATION_ARMOR_4",aux,"GFX_ship_part_armor_4",1,@large_military_station_power_usage_armor_tier_4,@large_military_station_cost_armor_tier_4,120,"special_components","LARGE_STATION_ARMOR_5",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ military_station_large },
"LARGE_STATION_ARMOR_5",aux,"GFX_ship_part_armor_5",1,@large_military_station_power_usage_armor_tier_5,@large_military_station_cost_armor_tier_5,150,"special_components",,{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_5	},{ weight = @weight_5 },{ "tech_armor_5" },{ military_station_large },
"EXTRA_LARGE_STATION_ARMOR_1",aux,"GFX_ship_part_armor_2",1,-100,40,30,"special_components","EXTRA_LARGE_STATION_ARMOR_2",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ military_station_xl_bulwark military_station_xxl_citadel military_station_xlarge military_station_xlarge Headquarters },
"EXTRA_LARGE_STATION_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-125,60,60,"special_components","EXTRA_LARGE_STATION_ARMOR_3",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ military_station_xl_bulwark military_station_xxl_citadel military_station_xlarge military_station_xlarge Headquarters },
"EXTRA_LARGE_STATION_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-150,80,90,"special_components","EXTRA_LARGE_STATION_ARMOR_4",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_3	},{ weight = @weight_3 },{ "tech_armor_3" },{ military_station_xl_bulwark military_station_xxl_citadel military_station_xlarge military_station_xlarge Headquarters },
"EXTRA_LARGE_STATION_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-175,100,120,"special_components","EXTRA_LARGE_STATION_ARMOR_5",{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ military_station_xl_bulwark military_station_xxl_citadel military_station_xlarge military_station_xlarge Headquarters },
"EXTRA_LARGE_STATION_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-225,120,150,"special_components",,{ shipclass_military_station },{ ship_hitpoints_add = @station_armor_armor_hp_bonus_tier_5	},{ weight = @weight_5 },{ "tech_armor_5" },{ military_station_xl_bulwark military_station_xxl_citadel military_station_xlarge military_station_xlarge Headquarters },
"NON-DESIGNABLE_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,0,0,3,"special_components","NON-DESIGNABLE_SHIP_ARMOR_2",{ shipclass_colonizer shipclass_constructor shipclass_transport },,{ weight = @weight_1 },,,
"NON-DESIGNABLE_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,0,0,6,"special_components","NON-DESIGNABLE_SHIP_ARMOR_3",{ shipclass_colonizer shipclass_constructor shipclass_transport },,{ weight = @weight_2 },{ "tech_armor_2" },,
"NON-DESIGNABLE_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,0,0,9,"special_components","NON-DESIGNABLE_SHIP_ARMOR_4",{ shipclass_colonizer shipclass_constructor shipclass_transport },,{ weight = @weight_3 },{ "tech_armor_3" },,
"NON-DESIGNABLE_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,0,0,12,"special_components","NON-DESIGNABLE_SHIP_ARMOR_5",{ shipclass_colonizer shipclass_constructor shipclass_transport },,{ weight = @weight_4 },{ "tech_armor_4" },,
"NON-DESIGNABLE_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,0,0,15,"special_components",,{ shipclass_colonizer shipclass_constructor shipclass_transport },,{ weight = @weight_5 },{ "tech_armor_5" },,
